Time (J2000),"Orientation X-axis [i,j,k]"
2451441.5833333335,[-1.0000000e+00  1.2246468e-16  0.0000000e+00]
2451441.586874048,[-0.99798668 -0.05492673  0.03171196]
2451441.5904147634,[-0.99195481 -0.10963228  0.06329623]
2451441.5939554786,[-0.9819287  -0.16389639  0.09462562]
2451441.597496194,[-0.9679487  -0.21750054  0.12557399]
2451441.601036909,[-0.95007112 -0.27022889  0.15601672]
2451441.6045776242,[-0.92836793 -0.32186913  0.18583123]
2451441.608118339,[-0.90292654 -0.37221331  0.21489746]
2451441.611659054,[-0.87384938 -0.42105872  0.24309837]
2451441.6151997694,[-0.84125353 -0.46820868  0.27032041]
2451441.6187404846,[-0.80527026 -0.51347333  0.29645396]
2451441.6222812,[-0.76604444 -0.5566704   0.3213938 ]
2451441.625821915,[-0.72373404 -0.59762595  0.34503951]
2451441.6293626297,[-0.67850941 -0.63617508  0.36729585]
2451441.632903345,[-0.63055267 -0.67216256  0.38807323]
2451441.63644406,[-0.58005691 -0.70544347  0.40728798]
2451441.6399847753,[-0.52722547 -0.73588381  0.42486271]
2451441.6435254905,[-0.47227107 -0.763361    0.44072668]
2451441.6470662053,[-0.41541501 -0.78776442  0.454816  ]
2451441.6506069205,[-0.35688622 -0.80899578  0.46707393]
2451441.6541476357,[-0.29692038 -0.8269696   0.47745112]
2451441.657688351,[-0.23575894 -0.84161351  0.48590578]
2451441.661229066,[-0.17364818 -0.85286853  0.49240388]
2451441.6647697813,[-0.1108382  -0.86068936  0.49691923]
2451441.668310496,[-0.04758192 -0.86504449  0.49943367]
2451441.671851211,[ 0.01586596 -0.8659164   0.49993706]
2451441.6753919264,[ 0.07924996 -0.86330156  0.49842739]
2451441.6789326416,[ 0.14231484 -0.85721051  0.49491072]
2451441.682473357,[ 0.20480667 -0.84766778  0.48940122]
2451441.6860140716,[ 0.26647381 -0.83471179  0.48192108]
2451441.689554787,[ 0.32706796 -0.81839472  0.47250041]
2451441.693095502,[ 0.38634513 -0.79878225  0.46117715]
2451441.696636217,[ 0.44406661 -0.77595337  0.44799689]
2451441.7001769324,[ 0.5       -0.75       0.4330127]
2451441.7037176476,[ 0.55392006 -0.72102664  0.41628493]
2451441.7072583623,[ 0.60560969 -0.68914997  0.39788092]
2451441.7107990775,[ 0.65486073 -0.65449833  0.37787479]
2451441.7143397927,[ 0.70147489 -0.61721126  0.35634709]
2451441.717880508,[ 0.74526445 -0.57743889  0.3333845 ]
2451441.721421223,[ 0.78605309 -0.53534139  0.30907949]
2451441.7249619383,[ 0.82367658 -0.49108825  0.28352993]
2451441.728502653,[ 0.85798341 -0.44485767  0.2568387 ]
2451441.7320433683,[ 0.88883545 -0.39683581  0.22911326]
2451441.7355840835,[ 0.91610846 -0.34721603  0.20046527]
2451441.7391247987,[ 0.93969262 -0.29619813  0.17101007]
2451441.742665514,[ 0.95949297 -0.24398755  0.14086628]
2451441.7462062286,[ 0.97542979 -0.19079452  0.11015527]
2451441.749746944,[ 0.98743889 -0.13683322  0.0790007 ]
2451441.753287659,[ 0.99547192 -0.08232095  0.04752802]
2451441.756828374,[ 0.99949654 -0.0274772   0.01586397]
2451441.7603690894,[ 0.99949654  0.0274772  -0.01586397]
2451441.7639098046,[ 0.99547192  0.08232095 -0.04752802]
2451441.7674505194,[ 0.98743889  0.13683322 -0.0790007 ]
2451441.7709912346,[ 0.97542979  0.19079452 -0.11015527]
2451441.77453195,[ 0.95949297  0.24398755 -0.14086628]
2451441.778072665,[ 0.93969262  0.29619813 -0.17101007]
2451441.78161338,[ 0.91610846  0.34721603 -0.20046527]
2451441.7851540954,[ 0.88883545  0.39683581 -0.22911326]
2451441.78869481,[ 0.85798341  0.44485767 -0.2568387 ]
2451441.7922355253,[ 0.82367658  0.49108825 -0.28352993]
2451441.7957762405,[ 0.78605309  0.53534139 -0.30907949]
2451441.7993169557,[ 0.74526445  0.57743889 -0.3333845 ]
2451441.802857671,[ 0.70147489  0.61721126 -0.35634709]
2451441.8063983857,[ 0.65486073  0.65449833 -0.37787479]
2451441.809939101,[ 0.60560969  0.68914997 -0.39788092]
2451441.813479816,[ 0.55392006  0.72102664 -0.41628493]
2451441.8170205313,[ 0.5        0.75      -0.4330127]
2451441.8205612465,[ 0.44406661  0.77595337 -0.44799689]
2451441.8241019617,[ 0.38634513  0.79878225 -0.46117715]
2451441.8276426764,[ 0.32706796  0.81839472 -0.47250041]
2451441.8311833916,[ 0.26647381  0.83471179 -0.48192108]
2451441.834724107,[ 0.20480667  0.84766778 -0.48940122]
2451441.838264822,[ 0.14231484  0.85721051 -0.49491072]
2451441.841805537,[ 0.07924996  0.86330156 -0.49842739]
2451441.845346252,[ 0.01586596  0.8659164  -0.49993706]
2451441.848886967,[-0.04758192  0.86504449 -0.49943367]
2451441.8524276824,[-0.1108382   0.86068936 -0.49691923]
2451441.8559683976,[-0.17364818  0.85286853 -0.49240388]
2451441.859509113,[-0.23575894  0.84161351 -0.48590578]
2451441.863049828,[-0.29692038  0.8269696  -0.47745112]
2451441.8665905427,[-0.35688622  0.80899578 -0.46707393]
2451441.870131258,[-0.41541501  0.78776442 -0.454816  ]
2451441.873671973,[-0.47227107  0.76336101 -0.44072668]
2451441.8772126883,[-0.52722547  0.73588381 -0.42486271]
2451441.8807534035,[-0.58005691  0.70544347 -0.40728798]
2451441.8842941187,[-0.63055267  0.67216256 -0.38807323]
2451441.8878348335,[-0.67850941  0.63617508 -0.36729585]
2451441.8913755487,[-0.72373404  0.59762595 -0.34503951]
2451441.894916264,[-0.76604444  0.5566704  -0.3213938 ]
2451441.898456979,[-0.80527026  0.51347333 -0.29645396]
2451441.9019976943,[-0.84125353  0.46820868 -0.27032041]
2451441.905538409,[-0.87384938  0.42105872 -0.24309837]
2451441.909079124,[-0.90292654  0.37221331 -0.21489746]
2451441.9126198394,[-0.92836793  0.32186913 -0.18583123]
2451441.9161605546,[-0.95007112  0.27022889 -0.15601672]
2451441.91970127,[-0.9679487   0.21750054 -0.12557399]
2451441.923241985,[-0.9819287   0.16389639 -0.09462562]
2451441.9267827,[-0.99195481  0.10963228 -0.06329623]
2451441.930323415,[-0.99798668  0.05492673 -0.03171196]
2451441.93386413,[-1.00000000e+00  3.34579728e-16 -1.22464680e-16]
